Epoch,Batch,Phase,Loss,Accuracy
1,100,Train,3.4995852756500243,19.46875
1,200,Train,2.9368478870391845,29.507812500000004
1,300,Train,2.77644846200943,32.9375
1,400,Train,2.660547912120819,34.765625
1,100,Validation,2.6739776229858396,34.671875
2,100,Train,2.3426890087127688,41.2265625
2,200,Train,2.3494870257377625,41.0
2,300,Train,2.3108810997009277,41.84375
2,400,Train,2.2431824862957,43.2890625
2,100,Validation,2.30871787071228,42.4453125
3,100,Train,1.971232602596283,49.1328125
3,200,Train,2.0114865267276762,47.921875
3,300,Train,1.999369045495987,48.90625
3,400,Train,2.0481765460968018,47.5390625
3,100,Validation,2.137094920873642,46.296875
4,100,Train,1.683335679769516,55.40625
4,200,Train,1.7418628096580506,54.421875
4,300,Train,1.79782191157341,52.98437499999999
4,400,Train,1.7951996767520904,53.0
4,100,Validation,2.1219666945934295,47.1953125
5,100,Train,1.4766962122917175,59.8359375
5,200,Train,1.5208805584907532,59.046875
5,300,Train,1.5472687888145447,58.5078125
5,400,Train,1.5694150817394257,58.1875
5,100,Validation,2.167681074142456,46.4765625
6,100,Train,1.2385100811719894,65.5703125
6,200,Train,1.3482727473974228,63.296875
6,300,Train,1.3958070743083955,61.953125
6,400,Train,1.4412964403629303,60.7421875
6,100,Validation,2.2245069265365602,46.875
7,100,Train,1.0890748757123947,68.6953125
7,200,Train,1.1671139699220658,67.2109375
7,300,Train,1.1856056255102159,66.8828125
7,400,Train,1.2589815163612366,64.828125
7,100,Validation,2.260227179527283,46.2578125
8,100,Train,0.9704312002658844,71.9296875
8,200,Train,1.0103994697332381,71.3046875
8,300,Train,1.0811801612377168,69.78125
8,400,Train,1.1504485243558884,67.265625
8,100,Validation,2.2273953592777254,47.71875
9,100,Train,0.8371228635311126,75.84375
9,200,Train,0.9002066874504089,73.8359375
9,300,Train,1.0088340282440185,71.1171875
9,400,Train,1.0680917310714722,69.6171875
9,100,Validation,2.3222924602031707,47.671875
10,100,Train,0.7605640834569931,77.7421875
10,200,Train,0.8416195243597031,75.09375
10,300,Train,0.8943396604061127,73.8828125
10,400,Train,0.947611676454544,72.890625
10,100,Validation,2.443334883451462,47.4453125
