Epoch,Batch,Phase,Loss,Accuracy
1,10,Train,4.6934630393981935,1.484375
1,20,Train,4.373051023483276,6.5625
1,30,Train,3.8167916774749755,18.671875
1,40,Train,3.3691155910491943,26.328125000000004
1,50,Train,2.980363631248474,31.953125
1,60,Train,2.617714190483093,38.28125
1,70,Train,2.325023126602173,44.140625
1,80,Train,2.203024959564209,45.703125
1,90,Train,2.1437447667121887,47.34375
1,100,Train,2.012289035320282,50.9375
1,110,Train,1.9869601845741272,50.234375
1,120,Train,1.9616214156150817,50.9375
1,130,Train,1.8768691301345826,53.125
1,140,Train,1.8202515482902526,56.015625
1,150,Train,1.8037569046020507,54.53125
1,160,Train,1.6773174405097961,56.796875
1,170,Train,1.721108615398407,56.875
1,180,Train,1.7467259526252747,56.32812499999999
1,190,Train,1.7301783442497254,54.60937500000001
1,200,Train,1.7212297677993775,54.37499999999999
1,210,Train,1.6184076070785522,57.8125
1,220,Train,1.5846526980400086,60.62499999999999
1,230,Train,1.599956214427948,57.89062499999999
1,240,Train,1.5609582662582397,60.15625
1,250,Train,1.599162995815277,59.45312499999999
1,260,Train,1.5883297681808473,60.46875000000001
1,270,Train,1.4743810057640077,60.9375
1,280,Train,1.480409038066864,60.78125
1,290,Train,1.5252556681632996,62.03125000000001
1,300,Train,1.482080352306366,62.18749999999999
1,310,Train,1.4860256910324097,59.765625
1,320,Train,1.457693338394165,62.65625
1,330,Train,1.5081924796104431,61.171875
1,340,Train,1.5110786080360412,60.07812500000001
1,350,Train,1.3586157441139222,63.125
1,360,Train,1.4974489212036133,61.79687499999999
1,370,Train,1.4253807544708252,63.515625
1,380,Train,1.4977346539497376,60.85937500000001
1,390,Train,1.4307923436164856,61.71875
1,400,Train,1.4537381529808044,63.125
1,410,Train,1.3673026800155639,64.609375
1,10,Validation,1.5454995274543761,60.07812500000001
1,20,Validation,1.5095764875411988,60.15625
1,30,Validation,1.5396369576454163,60.23437499999999
1,40,Validation,1.6017042517662048,58.203125
1,50,Validation,1.5988307118415832,58.51562500000001
1,60,Validation,1.5837205529212952,58.4375
1,70,Validation,1.668074357509613,56.95312500000001
1,80,Validation,1.625496256351471,58.75
1,90,Validation,1.58032306432724,59.375
1,100,Validation,1.6258150815963746,58.046875
1,110,Validation,1.6052517414093017,58.75
1,120,Validation,1.693379020690918,54.84375
1,130,Validation,1.5495968222618104,58.828125
1,140,Validation,1.5503978371620177,59.84374999999999
1,150,Validation,1.4936149835586547,59.29687500000001
1,160,Validation,1.551731562614441,59.68750000000001
1,170,Validation,1.6607338190078735,57.34375000000001
2,10,Train,1.1347616314888,70.15625
2,20,Train,1.0243801176548004,73.125
2,30,Train,0.9803322792053223,73.203125
2,40,Train,1.0192613184452057,72.265625
2,50,Train,0.9681904196739197,72.734375
2,60,Train,1.0173576831817628,72.96875
2,70,Train,1.0272459447383882,72.578125
2,80,Train,1.0160441875457764,72.578125
2,90,Train,1.0183747589588166,72.265625
2,100,Train,0.9781716942787171,73.75
2,110,Train,0.9767912149429321,72.734375
2,120,Train,1.0280157387256623,71.484375
2,130,Train,1.0275765240192414,71.953125
2,140,Train,0.9914685070514679,73.75
2,150,Train,1.0642800033092499,71.71875
2,160,Train,1.0495209217071533,71.484375
2,170,Train,0.9930027246475219,72.5
2,180,Train,1.0909079313278198,70.859375
2,190,Train,1.02389457821846,71.09375
2,200,Train,0.94418084025383,74.21875
2,210,Train,0.974924647808075,73.4375
2,220,Train,1.098860114812851,71.015625
2,230,Train,1.0856656014919281,70.78125
2,240,Train,0.9990601122379303,72.03125
2,250,Train,1.0339823246002198,71.640625
2,260,Train,1.0354875922203064,72.03125
2,270,Train,1.0445134580135345,72.421875
2,280,Train,1.1026802599430083,70.078125
2,290,Train,1.0299873113632203,72.421875
2,300,Train,1.1348511040210725,70.234375
2,310,Train,1.076464730501175,69.375
2,320,Train,1.0059771120548249,72.8125
2,330,Train,1.0053351402282715,73.515625
2,340,Train,1.0345345795154572,72.8125
2,350,Train,1.0235042035579682,72.34375
2,360,Train,0.9980220973491669,72.421875
2,370,Train,1.0172807157039643,72.578125
2,380,Train,0.9941173732280731,71.71875
2,390,Train,1.0712973713874816,71.015625
2,400,Train,1.0924982726573944,71.015625
2,410,Train,1.0280155003070832,71.640625
2,10,Validation,1.4783870816230773,61.25000000000001
2,20,Validation,1.38030606508255,64.6875
2,30,Validation,1.4859490513801574,60.546875
2,40,Validation,1.4635216355323792,62.42187500000001
2,50,Validation,1.503905725479126,62.5
2,60,Validation,1.51757150888443,60.0
2,70,Validation,1.5371038794517518,60.0
2,80,Validation,1.4919649600982665,61.875
2,90,Validation,1.511792242527008,59.29687500000001
2,100,Validation,1.4946196317672729,61.484375
2,110,Validation,1.441534411907196,63.125
2,120,Validation,1.569204616546631,59.06249999999999
2,130,Validation,1.3792032122612,61.40624999999999
2,140,Validation,1.4594546675682067,62.57812499999999
2,150,Validation,1.336741578578949,65.859375
2,160,Validation,1.4166815996170044,64.84375
2,170,Validation,1.5049434781074524,61.71875
3,10,Train,0.7064604461193085,80.859375
3,20,Train,0.6558955073356628,81.953125
3,30,Train,0.6040738135576248,83.359375
3,40,Train,0.5752482086420059,84.453125
3,50,Train,0.5747576355934143,84.21875
3,60,Train,0.5892664462327957,84.0625
3,70,Train,0.6075308799743653,82.8125
3,80,Train,0.5845998585224151,83.59375
3,90,Train,0.5954330354928971,83.125
3,100,Train,0.5424049735069275,85.234375
3,110,Train,0.5824921786785126,84.375
3,120,Train,0.5983675003051758,83.984375
3,130,Train,0.5744178473949433,84.375
